,med_exp,med_model,scale,med_ratio,scale_ratio,rate,rate_L95%,rate_U95%,beta,beta_L95%,beta_U95%,s,s_L95%,s_U95%,model type,lambda,lambda_L95%,lambda_U95%,scale_ratio_log2,lifespan_ratio_log2,shape_ratio_log2,med_exp_U95%,med_exp_L95%,inverse_eta,model_type,shape_exp,shape_med,med_model_L95%,med_model_U95%,shape_med_L95%,shape_med_U95%,shape_eta,scale_ratio_log2_L95%,scale_ratio_log2_U95%,lifespan_ratio_log2_L95%,lifespan_ratio_log2_U95%,shape_ratio_log2_L95%,shape_ratio_log2_U95%,rate_overlap_wt,med_exp_overlap_wt,shape_med_overlap_wt,yield_mean,yield_std
flgD%202,106.10430430555556,106.2,7.519111416750571,1.5526315789473684,0.5483480560652788,0.1329944383816773,0.10192339376138286,0.17353739890046,779631.1062326799,35322.45709863172,17207881.66316826,0.46249492964996003,0.2809510395251479,0.7613481705333759,GGM,0.0019036134942891376,0.001496610193247946,0.002421301386285125,-0.866836180966319,0.6322328800056749,1.501551716884575,109.18044388888889,104.55579833333334,1691179.4556636496,GGM,14.111282360995945,14.20934299711249,102.4,108.2,10.51746380336288,18.012780722725232,13.974424678726248,-1.2507168755356028,-0.4829554863970347,0.6110227685759908,0.6734641648278451,1.070705887266931,1.84693994875426,1.0,1.0,1.0,,
pfkA,89.413955,91.82359472892927,27.005009018547458,1.3424502153352231,1.9694008212668899,0.03703016722983445,0.03275524323288996,0.041863016412976364,143.5295013327444,74.92640598102024,274.94602848086276,3.783748882265784,1.5567516748414132,9.196557058791038,GG,0.0,0.0,0.0,0.9777567648731439,0.3853216152893745,-0.5528881779069736,91.91584916666667,88.51064138888887,37.9305506994485,GG,3.3110137063308924,3.398655323238451,89.92670589325047,93.87317680019356,3.0091989437640168,3.8529996680645224,3.306573622945285,0.8007815618595742,1.1547319678867134,0.3706725190922321,0.4251352509495634,-0.7346295715042905,-0.37802699888349756,-1.0,1.0,-1.0,0.34706908805446074,0.017591982662057727
dnaT,110.50278819444445,110.7,7.575577659568921,1.6184210526315788,0.5524659834062375,0.13200313493412247,0.04830492861527714,0.36072566779293985,9057.589587004448,1.7657480468285172,46461854.66491922,0.08186567126409612,0.023716135706873073,0.28259191186778276,GGM,0.0016666546170482411,0.0009741409361848097,0.002851474062271868,-0.8560424576809322,0.6908324691353345,1.5506294495765864,115.19796819444446,101.98007388888888,111203.84232028225,GGM,14.586714460628006,15.17893768134503,57.5,123.4,2.7769689681460195,36.93492771559265,11.252620266203792,-2.306372348392439,0.594287433030575,0.5750369855067974,0.750864968586972,-0.8504980050609666,2.882904788486646,0.0,1.0,0.0,0.22177682266858123,0.01644708047263385
yjeL,120.05405069444444,119.4,6.862072281354045,1.7456140350877192,0.5004320041963205,0.1457285727982272,0.12958553294494962,0.16388262213521942,24495997.427791458,4292073.842120788,139805118.00464913,0.634598752720641,0.5031747930053948,0.8003492673971758,GGM,0.0009214176368275218,0.000748172986367298,0.0011347782891482441,-0.998754037560176,0.8104337789042855,1.802488643939083,121.09826805555556,117.68393499999999,38307647.10726518,GGM,17.495305466347407,17.422513223592972,118.30000000000001,120.4,15.405251123541484,19.457431821434064,17.09464721467496,-1.1681331465698044,-0.8293749285505472,0.7816670890673054,0.8229279289244413,1.6213412344733613,1.95824033624346,1.0,1.0,1.0,,
gspF,113.81768763888888,112.7,6.908747097653571,1.6476608187134503,0.5038358698084237,0.14474404488472759,0.11952507217992253,0.1752840483380297,30608995.37765286,2754445.848353522,340144860.20453686,1.361551652566611,0.644166587143444,2.8778625585466098,GGM,0.001962300278762901,0.0016519116142637924,0.002331009934662313,-0.988974258737032,0.7334744717027262,1.7093935440233552,114.81818722222224,110.81724305555556,22443913.434332494,GGM,16.474432488279238,16.358492896396946,110.60000000000001,113.9,13.253618500220687,19.545250745687422,16.560017162581357,-1.265164975343117,-0.7127835421309467,0.6949320779363853,0.746100880411074,1.4043053320550565,1.964737127350331,1.0,1.0,1.0,,
yfjO,129.1612825,127.7,12.116664113151808,1.8669590643274854,0.8836348930328829,0.08253096649882112,0.07263391869980312,0.09377657922300696,50070.171242508775,20795.775841866674,120554.38889694806,1.1186443133685404,0.7154659717372255,1.7490211264601854,GGM,0.00045507083860478334,0.0003307726653823975,0.0006260779375739828,-0.17847770583250205,0.9159233684319419,1.079168000649328,130.31088902777776,127.9635561111111,44905.77481889396,GGM,10.65980547895227,10.560249170323637,126.5,128.9,9.249568622895666,11.914668903860218,10.345840886643163,-0.36276982379625755,0.005814412131253555,0.9024826877958898,0.9287073404409667,0.8853770228607215,1.250657895399105,0.0,1.0,1.0,,
bipA,83.73178569444445,84.90189573362372,14.541162640262066,1.241255785579294,1.0604468832518785,0.06877029194564993,0.06292809761984448,0.0751548709268229,228.69296135549018,178.04338776519097,293.75126608194614,0.7565636042214909,0.6101238774060508,0.9381512647335317,GG,0.0,0.0,0.0,0.08467235949339617,0.29059699513735454,0.227128082777557,84.88867694444444,82.48813444444446,301.75952252882325,GG,5.75825934733754,5.840376883545343,83.71261388915275,86.12242166503825,5.3609458140693595,6.344906521296635,5.347887047044081,-0.04340878124747194,0.21275350023426443,0.26900821118889423,0.3103937319310351,0.0984784924952026,0.34158984858686803,0.0,1.0,0.0,0.3253901977016567,0.00502813477629365
gspL,95.91589930555556,93.80000000000001,18.98106912535326,1.3713450292397662,1.3842370168556597,0.05268407134476355,0.04218387189770473,0.06579792817954105,8619.524142826824,2.7442017521108326,27073882.738988142,31.602080432591816,0.00405173033172506,246485.18186125226,GGM,0.0021567007426274683,0.001471902434855442,0.003160099462507303,0.46909099049334413,0.48659158274560516,-0.013499392863865391,97.77044541666666,93.33299680555555,272.8782839690258,GGM,5.053240082111046,4.9479521921651415,89.9,234.1999999999952,3.8124157188805707,15.015012149127966,5.247785956427506,0.14841567203460615,0.7897663089520823,0.44720882171302506,0.5142200276013897,-0.39330361635388406,1.5843246765207777,0.0,1.0,0.0,,
paoB,102.64218,102.80000000000001,10.161857247106877,1.5029239766081872,0.7410762201302764,0.09840720802141796,0.08291503536325825,0.11679399940124542,49262.16244407314,14546.717395926837,166825.31066051757,1.3929668344912445,0.8216406608842651,2.3615635086806797,GGM,0.0011182455425596037,0.0008149648583069872,0.001534388974822991,-0.432306162681594,0.5843734141565502,1.0200781969895745,103.8242361111111,100.91195222222223,35572.95515094008,GGM,10.100730359031825,10.150073976809589,100.9,104.30000000000001,8.433713426052714,11.901824748728306,10.112868575907935,-0.6794364190884581,-0.18517590627472957,0.5598467575095907,0.6008929542777675,0.7521589397012615,1.249101814056489,0.0,1.0,1.0,0.32308737044827046,0.007550652203304951
yagQ,78.75760305555556,78.8590096591943,9.436024815026778,1.152909497941437,0.6881432628830149,0.10597683024397198,0.09720093139435836,0.11554507130177065,2864.271348453381,1788.3408708403153,4587.520472937574,0.758119546963069,0.6275935236457978,0.9157921900606876,GG,0.0,0.0,0.0,-0.5392191474966361,0.20224080652166365,0.7444984150434597,80.25919444444445,77.25520333333333,3779.958713961355,GG,8.34648112944074,8.364317922333175,77.94714142597692,79.78515639520107,7.6701579037642995,9.071200938997865,7.871337042446006,-0.6639259866394744,-0.41451230835379826,0.1744537076954271,0.22948827821412696,0.6152472178696444,0.8572845016319128,1.0,1.0,1.0,0.3233086761925264,0.018997555211035327
