,beta,s,rate,lambda,q=0.1,q=0.25,q=0.5,q=0.75,q=0.9
820,748.1458115185117,5.318305362142518,0.03945975807098611,0,70.21494127144406,95.07091672197093,117.97741121846218,137.11989066980814,152.23649252210694
821,0.01629198732822448,0.000153101068048323,0.037179512298035476,0,18398.81980162237,inf,inf,inf,inf
822,4374601.670917512,39527.04799867552,0.03716481012665676,0,68.30381776813078,93.94948603211286,117.12780504386487,135.6049945644099,149.18853108969947
823,72474.36789500518,543.8394010017406,0.03846190104279675,0,70.4816048455566,95.4825990141773,117.96659446017324,135.86522335030804,149.02360470345064
824,74007473.19750136,600804.2740410814,0.03773512283134894,0,69.89540931904632,95.28474141279165,118.16004365794441,136.37497628851577,149.75984024312646
825,1383665891.689064,16815924.583902936,0.03496957515622403,0,64.88397043626692,91.6694930227466,116.13048863355104,135.70448321012438,150.1151224662335
826,15.882259666155955,0.17338736401824462,0.03593301068959375,0,73.99417625850172,117.6632600504011,187.72517379382464,299.45296786400894,446.5310870792191
827,2669317.3022685763,40353.97808056171,0.03305605185426171,0,62.79040815278359,90.67047654856032,116.37685469458607,137.02136640261756,152.24119745670643
828,0.2237139282854876,0.0025230452918522106,0.034961589417197535,0,1151.6031739412622,3218.5143119752747,7815.1202359804065,15673.06996496017,inf
829,461.53890584457895,8.408801433096787,0.031766535323052174,0,60.43361833782844,89.305783265191,116.63773005070409,139.376271380699,156.96431027773656
830,27032769055.22503,215141256.38415974,0.03845781976721367,0,69.06169667088547,93.99647607034922,116.45001438131926,134.32558078910537,147.46007788663212
831,179383452.46103403,2094793.4069196223,0.03514156114652505,0,65.58662440006401,92.31126022648327,116.67851268025244,136.16622684847962,150.51017518019611
832,169888.58133668834,2268.9048685613348,0.03420062016479372,0,63.883139794609725,91.09147993289375,116.03785993829808,136.03174580167885,150.76235039738432
833,87916508225039.58,759075293748.7756,0.0370474123623953,0,69.6522971484771,95.43752860084709,118.71027027419387,137.25344548527326,150.88279300618944
834,595774879.158783,5420965.004922754,0.03788558324461042,0,66.83426431573112,91.98297267510372,114.71693168809895,132.84117845111345,146.16550885548048
835,261.4323875567843,2.958116019765709,0.03543912289538705,0,66.29419460380953,93.72437604306553,119.89403495196495,142.7261667587879,161.776434244543
