,beta,s,rate,lambda,q=0.1,q=0.25,q=0.5,q=0.75,q=0.9
30,126.38406835623832,0.6184469320982222,0.062435248723511624,0,51.214827490070064,69.33302546646328,89.20238167134889,111.6270803470496,136.75353236522741
31,97.89761480119174,0.6636886170994363,0.05828770831368696,0,49.4375025969242,68.47348018782066,89.21464513471662,112.23518378958974,137.62755005443213
32,129.4268831322017,0.6270830853867175,0.06192270502826671,0,51.77378236350641,70.01008347622714,89.95363069637888,112.376531726627,137.42065340764873
33,127.1684651761182,0.6347871272214112,0.06126103315644105,0,51.849923089656414,70.23782574871966,90.31177842617349,112.81099764937379,137.87091882356668
34,106.71987573728946,0.6765517016048822,0.05858062545383878,0,50.24831511502735,69.18181362298485,89.71052502861436,112.36997450958535,137.2487542013514
35,109.83315961832757,0.5810973407074576,0.06143089673945288,0,50.922922181121855,69.47216744011239,90.08907963891427,113.76996422743358,140.6851888351967
36,93.79760157761365,0.7307985508293623,0.05613360441513299,0,48.88029069850077,68.30121546368886,89.18735305052333,111.83016214789572,136.2576513265189
37,101.57814135492542,0.5894150508610586,0.06062118069074394,0,50.128810315007904,68.8377523592813,89.61046028614528,113.38986091114259,140.33503612269345
38,110.11818136886951,0.6910283118800875,0.05801951071672032,0,50.87311748554858,69.94249841709075,90.53801151795484,113.1453869855981,137.84386242927482
39,108.32830980627533,0.5858086233585065,0.06119027324079215,0,50.7698406936137,69.35830611770548,89.99417108538465,113.64675746252063,140.48203584254946
40,107.19314625838676,0.714306972896897,0.056940795022095654,0,50.79667452388596,70.10672749127849,90.87259302683395,113.48519233233344,138.00147035845396
41,144.50420321459836,0.6370998794646024,0.06226396898002363,0,52.9255662957085,71.06109973202412,90.80634051304897,112.90099777028102,137.484937136959
42,109.73003495641369,0.5951335109799276,0.061989729965519616,0,50.047487394635155,68.35102124034326,88.60896630092256,111.72758189116104,137.8638103685817
43,113.94187149611058,0.6082191694431277,0.060962736743704726,0,51.10930304655575,69.66905290275626,90.11856106139201,113.31465170822734,139.40846414245084
44,112.76464947509564,0.5685782304282003,0.06203999460306198,0,51.19716832899789,69.64899264158865,90.2295059340559,114.00642741188562,141.16061322443088
45,112.60934424749505,0.6375008038764214,0.05980104269366932,0,51.09880870497107,69.8613197781482,90.37540950548157,113.3590432090151,138.93892926444263
46,117.21170954561764,0.6375893691779227,0.060521125745094294,0,51.11974724479872,69.67921561089166,89.95532244367517,112.66579876361637,137.93901929620543
47,100.87135792038845,0.7184344099254694,0.05683778202006922,0,49.7777087913825,69.06400506919957,89.81681693831607,112.3942340016869,136.84321344470052
48,127.9094530389559,0.5313202039533702,0.0656174364991278,0,51.34547158384367,69.06008037720783,89.03620937704983,112.54094043762579,139.77879193159234
49,111.08481020711034,0.6885510720001123,0.058295001490923586,0,50.837816940321666,69.83336185782856,90.35644137284208,112.90317145385755,137.5554583082392
50,129.57627540613083,0.6521337498283489,0.061174077966837756,0,51.75964218853671,70.10099417740152,90.02848929816531,112.2046181767552,136.75127381822807
51,108.39820174275367,0.6845811480362638,0.05799074027569166,0,50.80631342572093,69.90479951720447,90.56808182182722,113.3057851381132,138.20154015777865
52,126.67115658109196,0.6426553719622196,0.0612663753587194,0,51.57520612092015,69.92228923778259,89.9119900798582,112.24512750265524,137.049984242048
53,122.04921237186647,0.7517036216631868,0.05759028674924225,0,51.45649596178567,70.47728897746049,90.72625185647149,112.48443473450884,135.78876564849836
54,128.96765218195964,0.6024401458561155,0.06277078812000653,0,51.68726880986464,69.79783470494455,89.7430895431812,112.409520488455,137.95761068901385
55,118.70759310219724,0.6954240080323504,0.05833040991564379,0,51.7132137866593,70.70522438266143,91.16547884072581,113.57713207305324,138.02190805062395
56,114.78709864460212,0.6978368733966684,0.05885547900621053,0,50.64943881386373,69.44257142237724,89.69195410397582,111.85855453759224,136.018274753527
57,116.41839036814484,0.5630124561530889,0.06279978689120849,0,51.22941049514919,69.50472978325062,89.91451238329995,113.55415527192261,140.6089238301531
58,108.32213553456792,0.6617428641917557,0.05889260496216223,0,50.60723713917516,69.51855049036295,90.08744618728858,112.91702771474337,138.1102844708552
59,144.43128539586735,0.48600508275102233,0.06898453024752642,0,51.93228040299317,69.10972214511065,88.80951008830057,112.57914697393392,140.63802728475775
60,122.75745290444665,0.5674359465130365,0.0639092391409042,0,51.008190532006715,68.96311837728247,88.96857234978305,112.08346656456293,138.49004823323648
61,106.64264815233241,0.72333467614832,0.05725422563404584,0,50.211059100632966,69.37347477206127,89.94580430291529,112.27992440764552,136.42395402955015
62,124.45940017921829,0.6652045971548675,0.05978250699116794,0,51.97617389033739,70.6644554456025,90.91853259704216,113.34841775104204,138.0641700888072
63,124.36532513569803,0.6589105817073599,0.05983757538615947,0,52.08046954986253,70.78000723702446,91.07747082862645,113.61047889631025,138.49450255017757
64,135.478379796986,0.6343727187947534,0.062136391027549205,0,52.10790005034551,70.26659764400955,90.07151607794239,112.26533086336374,136.98630890521372
